patient,exercise,rep,step_index,step_name,chosen_overlay_keys,mae_Right_Shoulder,mae_Left_Shoulder,mae_Right_Elbow,mae_Left_Elbow,mae_Right_Wrist,mae_Left_Wrist
TOLFB05,PushdownPumping,1,1,PushDownPumping_S1,,0.03458507970506744,0.01133886842801149,0.017868532641343974,0.02651350748427745,0.013937303877493949,0.06418300273497667
TOLFB05,PushdownPumping,1,2,PushDownPumping_S2,LWrist+RWrist,0.017489142776168698,0.014590089465497974,0.10784979155242988,0.13919017649895735,0.2247508631383892,0.23064292133084344
TOLFB05,PushdownPumping,1,3,PushDownPumping_S3,RWrist,0.023237983251473585,0.015981929441209353,0.05698592716758128,0.07281825034532516,0.20036140834105687,0.19850646005863817
TOLFB05,PushdownPumping,1,4,PushDownPumping_S4,LWrist+RWrist,0.012739321788770323,0.01057686331356707,0.08296596924644309,0.12999855333942073,0.23661735102083334,0.207480569949187
TOLFB05,PushdownPumping,1,5,PushDownPumping_S5,LWrist+RWrist,0.014806618226104394,0.014035114405120484,0.1287009737979719,0.12268452018571235,0.23698083404447798,0.23624197515918677
TOLFB05,PushdownPumping,2,1,PushDownPumping_S1,,0.011149770344207294,0.025189595454319105,0.10376771092103654,0.16042315548272357,0.18265638857332311,0.19568135164334347
TOLFB05,PushdownPumping,2,2,PushDownPumping_S2,,0.013694932679623992,0.006689648065955293,0.0411692305297764,0.06217311395193086,0.12246115757012194,0.1044458906707317
TOLFB05,PushdownPumping,2,3,PushDownPumping_S3,LWrist+RWrist,0.01626785286001016,0.013083655547002037,0.05489723358352135,0.09458263012396848,0.26811004704085367,0.22106987206910572
TOLFB05,PushdownPumping,2,4,PushDownPumping_S4,,0.023462490442886185,0.02075468231417684,0.10015546080254065,0.1435962812555894,0.15218913324085362,0.15564595858861785
TOLFB05,PushdownPumping,2,5,PushDownPumping_S5,,0.01972316150461847,0.0205370663150629,0.09283681393363453,0.08643940057110715,0.17182607208534134,0.12750580376987947
