patient,exercise,joint,mae_x,rmse_x,corr_x,mae_y,rmse_y,corr_y
TOLFB05,ClaspAndSpread,Right_Shoulder,0.043333,0.052038,0.611539,0.007131,0.009477,0.369587
TOLFB05,ClaspAndSpread,Left_Shoulder,0.02876,0.043959,0.706286,0.006942,0.009125,0.386008
TOLFB05,ClaspAndSpread,Right_Elbow,0.098796,0.137069,0.885909,0.068179,0.101372,0.964768
TOLFB05,ClaspAndSpread,Left_Elbow,0.08748,0.133265,0.902853,0.073399,0.087568,0.9759
TOLFB05,ClaspAndSpread,Right_Wrist,0.116752,0.167162,0.944502,0.093525,0.162906,0.959898
TOLFB05,ClaspAndSpread,Left_Wrist,0.117895,0.171767,0.915844,0.095592,0.149069,0.963222
TOLFB05,DeepBreathing,Right_Shoulder,0.072211,0.073606,-0.01426,0.024478,0.026704,-0.184205
TOLFB05,DeepBreathing,Left_Shoulder,0.00976,0.011698,0.373357,0.027342,0.029449,-0.17165
TOLFB05,DeepBreathing,Right_Elbow,0.078472,0.118584,0.052387,0.06846,0.080286,0.299439
TOLFB05,DeepBreathing,Left_Elbow,0.082302,0.120679,0.478094,0.049548,0.052912,0.26121
TOLFB05,DeepBreathing,Right_Wrist,0.201771,0.226353,0.529246,0.089152,0.118868,0.494665
TOLFB05,DeepBreathing,Left_Wrist,0.119341,0.167033,0.469921,0.133853,0.137182,0.45466
TOLFB05,HorizontalPumping,Right_Shoulder,0.026864,0.031106,0.348643,0.009564,0.011154,-0.098735
TOLFB05,HorizontalPumping,Left_Shoulder,0.015148,0.018245,0.667262,0.009729,0.011273,-0.09944
TOLFB05,HorizontalPumping,Right_Elbow,0.043133,0.058179,0.940102,0.066483,0.093725,0.918574
TOLFB05,HorizontalPumping,Left_Elbow,0.055635,0.070714,0.897961,0.090714,0.115578,0.909119
TOLFB05,HorizontalPumping,Right_Wrist,0.123112,0.159315,0.934963,0.105682,0.156315,0.930211
TOLFB05,HorizontalPumping,Left_Wrist,0.135462,0.154333,0.952912,0.14402,0.189476,0.935618
TOLFB05,OverheadPumping,Right_Shoulder,0.028589,0.031179,0.938315,0.010349,0.01164,0.17362
TOLFB05,OverheadPumping,Left_Shoulder,0.029303,0.032751,0.926932,0.010571,0.011888,0.152578
TOLFB05,OverheadPumping,Right_Elbow,0.248141,0.271429,0.690828,0.054163,0.061544,0.995378
TOLFB05,OverheadPumping,Left_Elbow,0.236942,0.256437,0.728035,0.039705,0.050399,0.993595
TOLFB05,OverheadPumping,Right_Wrist,0.466348,0.507896,0.735672,0.039894,0.055177,0.997354
TOLFB05,OverheadPumping,Left_Wrist,0.324445,0.356365,0.796806,0.055314,0.069951,0.995773
TOLFB05,PushdownPumping,Right_Shoulder,0.027282,0.032794,0.852012,0.010143,0.012262,0.28789
TOLFB05,PushdownPumping,Left_Shoulder,0.020152,0.027776,0.856959,0.010414,0.01259,0.280394
TOLFB05,PushdownPumping,Right_Elbow,0.112008,0.147921,0.818231,0.045587,0.058882,0.990897
TOLFB05,PushdownPumping,Left_Elbow,0.153481,0.199156,0.589428,0.054206,0.070939,0.990871
TOLFB05,PushdownPumping,Right_Wrist,0.277316,0.352585,0.582502,0.084776,0.106303,0.994624
TOLFB05,PushdownPumping,Left_Wrist,0.269218,0.336597,0.450563,0.079101,0.101035,0.993359
TOLFB05,ShoulderRoll,Right_Shoulder,0.065564,0.073177,0.001768,0.010907,0.012835,-0.352249
TOLFB05,ShoulderRoll,Left_Shoulder,0.057173,0.067525,0.494356,0.013012,0.014597,-0.527107
TOLFB05,ShoulderRoll,Right_Elbow,0.109076,0.138193,0.575741,0.02005,0.024561,0.904601
TOLFB05,ShoulderRoll,Left_Elbow,0.102632,0.140061,0.637817,0.043682,0.048689,0.81797
TOLFB05,ShoulderRoll,Right_Wrist,0.172857,0.205021,0.832281,0.040126,0.051419,0.959943
TOLFB05,ShoulderRoll,Left_Wrist,0.138584,0.197704,0.851551,0.090032,0.097104,0.961574
